Query_ID;Subject_ID;Percentage_Identity;Alignment_Length;Mismatches;Gap_Openings;Query_Start;Query_End;Subject_Start;Subject_End;E-value;BitScore;treatments
k99_235040_1;IS10;52.3;111;53;0;14;124;107;217;3.17e-33;110.0;C
k99_237802_1;102;51.9;133;53;4;7;136;84;208;1.84e-41;132.0;C
k99_237802_1;Est18_23;55.1;127;49;2;7;132;77;196;4.99e-39;129.0;C
k99_237802_1;BsEstB;50.7;134;57;3;4;137;76;200;3.51e-38;127.0;C
k99_237802_1;101;50.4;125;57;4;10;132;2;123;8.280000000000001e-37;120.0;C
k99_241143_2;IS12;51.5;235;112;2;108;341;51;284;1.15e-71;219.0;C
k99_243370_1;PpEst;50.0;68;34;0;40;107;1;68;1.93e-17;66.6;C
k99_248799_1;202;57.9;38;15;1;53;90;35;71;3.33e-07;42.0;C
k99_256033_2;PpEst;54.0;100;46;0;17;116;19;118;2.58e-32;105.0;C
k99_258484_1;IS12;55.9;170;75;0;1;170;138;307;1.16e-61;186.0;C
k99_259665_1;Est8_89;54.5;123;54;2;1;121;90;212;1.82e-35;115.0;C
k99_269566_1;202;51.7;58;25;1;111;168;27;81;5.18e-10;52.4;C
k99_278293_1;PpEst;50.5;103;49;2;1;101;69;171;1.92e-30;100.0;C
k99_279155_1;101;50.8;128;57;2;5;131;47;169;1.63e-35;117.0;C
k99_279155_1;102;50.5;101;49;1;1;101;126;225;1.6e-29;101.0;C
k99_279155_1;Est18_23;54.8;104;44;2;10;111;127;229;1.1200000000000001e-27;99.0;C
k99_279155_1;BsEstB;51.0;104;46;3;1;103;119;218;6.84e-26;94.0;C
k99_283002_1;BsEstB;52.3;151;67;4;20;166;78;227;1.27e-41;139.0;C
k99_283002_1;102;52.3;128;55;2;19;140;82;209;2.29e-37;124.0;C
k99_283411_1;211;53.1;32;15;0;20;51;50;81;1.56e-06;38.9;C
k99_290664_1;IS12;55.9;204;89;1;1;203;81;284;6.36e-74;220.0;C
k99_298059_1;102;62.6;99;35;2;1;98;83;180;7.74e-39;124.0;C
k99_298059_1;BsEstB;55.2;96;37;4;3;97;80;170;1.2900000000000001e-26;94.0;C
k99_305239_1;IS12;52.1;140;66;1;1;140;21;159;2.22e-45;143.0;C
k99_305239_1;IS10;51.4;140;67;1;1;140;21;159;2.85e-45;142.0;C
k99_306085_1;IS12;53.3;45;21;0;3;47;238;282;3.83e-10;46.2;C
k99_308512_1;IS12;54.6;97;42;1;1;97;176;270;8.640000000000001e-29;98.2;C
k99_310607_1;PpEst;54.2;107;49;0;29;135;21;127;4.71e-36;115.0;C
k99_321613_3;102;52.0;196;87;4;38;229;7;199;3.7100000000000003e-64;194.0;C
k99_321613_3;101;57.1;119;43;3;117;229;2;118;8.6e-41;134.0;C
k99_325819_1;IS12;61.8;225;86;0;5;229;61;285;9.77e-103;293.0;C
k99_325819_1;IS10;55.1;225;101;0;5;229;61;285;5.259999999999999e-89;258.0;C
k99_332288_2;PpEst;54.2;177;81;0;14;190;4;180;2.46e-66;195.0;C
k99_335753_1;101;54.4;79;36;0;6;84;82;160;5.8399999999999996e-24;86.3;C
k99_335753_1;BsEstB;54.4;79;36;0;6;84;154;232;9.229999999999999e-23;84.3;C
k99_335753_1;Est18_23;55.4;65;29;0;4;68;153;217;7.35e-21;79.0;C
k99_342382_1;102;50.0;40;16;2;36;75;12;47;2.78e-07;38.1;C
k99_343074_1;202;57.9;38;16;0;1;38;38;75;4.48e-08;45.1;C
k99_346509_1;102;57.2;138;55;4;5;139;83;219;5.2399999999999996e-48;149.0;C
k99_346509_1;101;52.5;139;56;3;9;139;2;138;1.0099999999999999e-42;135.0;C
k99_372552_1;202;52.3;44;21;0;47;90;31;74;4.86e-09;43.9;C
k99_372825_1;101;53.2;124;51;1;2;118;21;144;1.18e-35;119.0;C
k99_372825_1;Est18_23;57.1;119;48;2;2;118;100;217;9.150000000000001e-35;119.0;C
k99_372825_1;BsEstB;50.4;135;61;3;2;134;102;232;4.39e-33;115.0;C
k99_372825_1;102;51.2;121;53;3;2;119;109;226;1e-31;108.0;C
k99_374299_1;PpEst;50.0;54;27;0;54;107;24;77;6.15e-16;62.8;C
k99_377436_1;IS10;58.6;70;27;1;2;71;142;209;1.72e-19;72.0;C
k99_377436_1;IS12;55.7;70;29;1;2;71;142;209;4.68e-19;70.9;C
k99_386003_1;IS12;55.0;120;54;0;1;120;46;165;7.829999999999999e-38;123.0;C
k99_386003_1;IS10;51.3;119;58;0;1;119;46;164;1.29e-34;114.0;C
k99_392445_1;PpEst;53.8;158;73;0;1;158;41;198;2.61e-62;183.0;C
k99_397357_1;Est18_23;57.2;166;69;2;1;166;78;241;9.12e-61;188.0;C
k99_398284_1;EstB;53.8;26;12;0;1;26;1;26;2.59e-07;35.8;C
k99_401592_1;IS12;51.7;149;70;2;2;148;148;296;3.38e-44;140.0;C
k99_402854_1;IS10;50.0;44;22;0;17;60;125;168;4.81e-09;45.1;C
k99_409371_1;IS12;52.0;75;33;2;81;154;49;121;1.7e-19;75.5;C
k99_416887_1;IS12;50.8;199;91;2;1;193;94;291;7.46e-56;172.0;C
k99_434658_1;101;54.1;74;34;0;4;77;74;147;2.65e-24;86.3;C
k99_434658_1;BsEstB;62.0;71;27;0;9;79;151;221;3.37e-24;87.4;C
k99_434658_1;Est18_23;59.4;69;28;0;12;80;155;223;3.0499999999999997e-23;84.7;C
k99_439724_1;102;65.3;49;16;1;52;99;3;51;3.92e-15;61.2;C
k99_446081_1;IS12;52.6;76;34;1;1;76;215;288;7.61e-22;79.0;C
k99_447323_1;IS10;53.4;131;57;3;8;138;50;176;3.9e-38;124.0;C
k99_450666_1;IS12;54.1;85;39;0;1;85;209;293;1.52e-26;92.4;C
k99_453399_1;IS10;70.6;34;10;0;2;35;142;175;2.01e-10;45.8;C
k99_453399_1;IS12;55.9;34;15;0;2;35;142;175;4.23e-08;39.3;C
k99_463107_2;202;57.5;40;17;0;139;178;32;71;3.3e-09;48.9;C
k99_466035_1;PpEst;60.7;135;53;0;1;135;67;201;2.9100000000000002e-58;172.0;C
k99_468833_6;PpEst;52.3;149;71;0;1;149;53;201;1.12e-54;164.0;C
k99_477402_1;IS12;59.1;137;56;0;1;137;160;296;4.78e-57;173.0;C
k99_477402_1;IS10;52.6;137;65;0;1;137;160;296;1.7e-47;148.0;C
k99_478699_2;202;60.0;40;16;0;133;172;32;71;1.42e-09;48.5;C
k99_497871_2;202;55.6;36;16;0;119;154;36;71;4.23e-07;40.8;C
k99_506073_1;Est18_23;54.0;87;40;0;1;87;136;222;1.5099999999999998e-23;85.5;C
k99_506073_1;BsEstB;50.5;97;45;1;1;97;138;231;2.06e-23;85.1;C
k99_506075_1;IS12;50.3;151;73;2;5;153;146;296;6.7e-40;130.0;C
k99_506134_1;IS12;56.7;90;38;1;26;114;76;165;1.22e-26;93.2;C
k99_510638_1;HG-4;51.6;157;74;2;2;157;31;186;3.42e-51;157.0;C
k99_511080_1;102;56.8;148;61;2;272;416;1;148;1.09e-48;160.0;C
k99_512719_1;202;52.2;46;22;0;43;88;31;76;6.69e-10;48.1;C
k99_516213_1;202;54.8;31;14;0;157;187;38;68;4.48e-07;43.5;C
k99_526967_1;PpEst;50.8;118;57;1;51;167;24;141;2.88e-35;115.0;C
k99_529325_1;IS11;53.5;101;44;1;1;101;95;192;8.460000000000001e-33;110.0;C
k99_534430_1;IS12;53.8;130;59;1;1;130;89;217;1.85e-41;132.0;C
k99_534522_1;Est18_23;60.2;118;44;1;1;118;127;241;9.38e-40;130.0;C
k99_534522_1;BsEstB;52.5;118;49;2;1;118;129;239;1.59e-32;111.0;C
k99_534522_1;101;56.4;94;39;1;1;94;53;144;2.76e-29;100.0;C
k99_537065_1;PpEst;54.6;97;43;1;2;97;85;181;5.37e-33;106.0;C
k99_540664_1;202;53.7;41;19;0;57;97;31;71;4.92e-07;41.2;C
k99_545375_1;PpEst;53.6;28;13;0;12;39;24;51;2.25e-07;36.6;C
k99_550373_1;Ces39_5;70.1;67;20;0;2;68;181;247;1.7000000000000001e-29;97.4;C
k99_550912_1;202;53.8;52;23;1;25;75;30;81;1.67e-12;55.5;C
k99_567496_3;101;53.1;145;59;3;125;262;2;144;2.04e-44;145.0;C
k99_590967_1;IS12;62.8;78;27;1;3;80;151;226;2.8300000000000003e-31;103.0;C
k99_590967_1;IS10;53.2;79;35;1;2;80;150;226;1.89e-22;80.5;C
k99_590976_1;IS12;62.8;78;27;1;3;80;151;226;1.03e-31;105.0;C
k99_590976_1;IS10;53.2;79;35;1;2;80;150;226;7.019999999999999e-23;81.6;C
k99_592671_3;202;52.6;57;25;1;103;159;22;76;2.47e-08;47.0;C
k99_595712_3;Est18_23;51.5;33;16;0;1;33;167;199;8.54e-08;42.7;C
k99_595712_3;BsEstB;52.8;36;16;1;1;35;166;201;1.56e-07;42.0;C
k99_595712_3;102;65.4;26;9;0;1;26;175;200;6.05e-07;40.0;C
k99_596487_1;IS12;56.8;118;51;0;1;118;123;240;4.33e-44;139.0;C
k99_596487_1;IS10;54.3;116;53;0;3;118;125;240;1.4799999999999999e-40;129.0;C
k99_598812_2;IS11;56.7;127;55;0;4;130;8;134;5.76e-44;142.0;C
k99_604039_1;IS12;50.2;309;152;2;1;309;1;307;5.46e-99;287.0;C
k99_605683_1;Lip4_120;58.5;94;33;1;1;94;76;163;3.03e-35;117.0;C
k99_605683_1;Cbotu_EstA;59.4;96;33;1;1;96;115;204;4.5e-35;117.0;C
k99_628315_1;Ces39_5;70.8;72;21;0;1;72;1;72;1e-35;113.0;C
k99_630130_1;102;53.2;218;93;4;2;216;14;225;7.309999999999999e-69;213.0;C
k99_632406_1;202;63.2;38;14;0;2;39;34;71;1.08e-10;52.8;C
k99_639392_1;202;62.2;37;14;0;82;118;23;59;1.37e-10;49.3;C
k99_639719_1;PpEst;62.1;95;36;0;23;117;22;116;2.03e-38;121.0;C
k99_641324_3;202;51.4;35;17;0;101;135;36;70;4.92e-07;42.7;C
k99_644635_1;IS12;51.2;291;136;4;20;309;3;288;1.1699999999999999e-91;269.0;C
k99_647226_1;IS12;50.7;67;32;1;74;139;76;142;4.85e-17;68.2;C
k99_650424_2;PpEst;51.8;170;82;0;3;172;28;197;6.46e-65;191.0;C
k99_664892_1;IS10;50.0;96;48;0;1;96;209;304;5.0900000000000004e-27;93.6;C
k99_666888_2;IS12;54.5;268;117;2;12;278;45;308;5.19e-96;278.0;C
k99_670683_1;711;59.3;27;11;0;123;149;54;80;2.65e-06;37.7;C
k99_670683_1;LCC;59.3;27;11;0;123;149;89;115;2.77e-06;37.7;C
k99_670683_1;BhrPETase;59.3;27;11;0;123;149;89;115;2.77e-06;37.7;C
k99_670683_1;Thh_Est;59.3;27;11;0;123;149;55;81;8.94e-06;36.2;C
k99_670683_1;Est1(Hydrolase4,Enzyme708);55.6;27;12;0;123;149;89;115;9.36e-06;36.2;C
k99_670683_1;Est119;55.6;27;12;0;123;149;93;119;9.4e-06;36.2;C
k99_674380_1;IS10;50.0;44;22;0;17;60;125;168;4.56e-09;45.1;C
k99_676996_1;IS10;53.0;100;46;1;37;136;46;144;1.9e-32;109.0;C
k99_685660_1;IS10;52.0;175;77;2;1;171;1;172;7.48e-50;155.0;C
k99_686013_1;Est18_23;58.0;119;48;1;1;119;112;228;3.05e-38;127.0;C
k99_686013_1;BsEstB;53.2;124;52;2;1;124;114;231;1.09e-35;120.0;C
k99_686013_1;101;60.7;107;37;2;4;108;41;144;2.36e-34;113.0;C
k99_695069_1;Est18_23;51.2;123;57;1;1;120;25;147;7.3e-38;125.0;C
k99_695069_1;101;50.0;74;31;2;53;121;2;74;1.31e-17;68.9;C
k99_700285_1;202;57.6;33;14;0;27;59;36;68;6.37e-07;40.0;C
k99_700966_1;IS12;54.0;63;29;0;1;63;206;268;3.07e-20;73.9;C
k99_702131_1;IS12;53.0;183;86;0;1;183;125;307;1.53e-70;209.0;C
k99_702131_1;IS10;50.6;180;89;0;1;180;125;304;3.81e-59;180.0;C
k99_717951_1;IS12;51.4;111;54;0;2;112;197;307;3.84e-37;120.0;C
k99_729391_1;102;50.0;114;49;4;2;113;56;163;4.66e-26;91.3;C
k99_734505_1;IS10;50.0;28;13;1;12;38;71;98;2.8e-06;33.5;C
k99_747391_1;102;51.9;135;61;3;12;144;16;148;2.41e-37;122.0;C
k99_755573_1;IS12;54.8;31;14;0;50;80;127;157;2.76e-06;38.1;C
k99_762192_1;Est18_23;60.5;129;51;0;1;129;88;216;6.599999999999999e-52;163.0;C
k99_762192_1;BsEstB;57.7;130;50;3;2;129;89;215;8.48e-46;147.0;C
k99_762192_1;101;53.0;134;56;3;3;129;10;143;2.85e-38;124.0;C
k99_766461_1;102;51.0;147;65;3;22;167;9;149;1.6499999999999999e-46;146.0;C
k99_766461_1;BsEstB;51.8;139;60;4;30;167;11;143;5.3699999999999996e-40;133.0;C
k99_767269_1;202;53.7;41;19;0;2;42;32;72;1.37e-10;49.3;C
k99_770546_1;IS10;61.9;63;24;0;5;67;76;138;9.45e-28;94.0;C
k99_770546_1;IS12;57.1;63;27;0;5;67;76;138;1.09e-24;85.9;C
k99_779559_1;Est18_23;53.2;109;50;1;1;109;94;201;3.3100000000000003e-35;118.0;C
k99_779559_1;BsEstB;50.9;108;49;2;3;110;98;201;7.470000000000001e-31;106.0;C
k99_779559_1;102;51.0;102;48;2;3;104;105;204;3.9900000000000006e-27;94.0;C
k99_782293_2;406;51.3;39;18;1;5;43;154;191;2.15e-06;38.1;C
k99_784152_1;IS12;53.6;168;72;2;13;178;3;166;3.8599999999999997e-53;164.0;C
k99_784955_1;202;54.3;35;16;0;156;190;38;72;9.38e-09;47.4;C
k99_789482_4;202;54.3;46;21;0;134;179;29;74;2.48e-09;50.4;C
k99_794265_1;102;54.1;122;55;1;21;141;27;148;2.71e-42;134.0;C
k99_795456_1;102;51.0;192;84;5;45;231;12;198;3.3600000000000004e-57;176.0;C
k99_795456_1;101;52.5;118;48;3;120;231;2;117;1.6400000000000001e-31;110.0;C
k99_797710_1;102;59.3;209;76;4;38;237;12;220;7e-83;242.0;C
k99_797710_1;BsEstB;51.5;206;86;5;43;238;11;212;3.14e-66;205.0;C
k99_797710_1;Est18_23;50.9;212;92;5;38;238;3;213;1.81e-65;203.0;C
k99_797710_1;101;52.5;139;54;3;112;238;2;140;2.91e-41;135.0;C
k99_803252_2;PpEst;51.1;178;87;0;1;178;24;201;8.73e-67;196.0;C
k99_807210_1;IS12;56.7;180;75;3;1;177;81;260;5.16e-62;187.0;C
k99_807210_1;IS10;50.3;179;86;3;1;176;81;259;2.9999999999999995e-54;167.0;C
k99_809575_1;IS12;51.4;210;100;1;1;210;82;289;3.97e-66;199.0;C
k99_810484_1;202;62.5;40;15;0;132;171;32;71;7.73e-11;52.8;C
k99_819117_1;BsEstB;52.3;264;121;3;8;271;5;263;1.18e-88;265.0;C
k99_819117_1;101;56.5;147;51;5;86;223;2;144;3.81e-46;149.0;C
k99_830733_1;202;50.0;52;24;1;92;143;31;80;5.81e-09;47.4;C
k99_834808_1;IS12;57.6;59;25;0;2;60;238;296;4.88e-18;68.2;C
k99_846950_1;Est18_23;59.0;105;43;0;1;105;112;216;3.58e-41;134.0;C
k99_846950_1;BsEstB;59.0;105;40;2;1;105;114;215;9.56e-38;125.0;C
k99_846950_1;101;53.4;103;47;1;4;105;41;143;8.540000000000001e-33;109.0;C
k99_852133_1;PLE628;50.0;48;18;2;43;90;163;204;4.34e-07;39.3;C
k99_858572_1;IS12;64.2;109;39;0;8;116;37;145;4.3000000000000003e-47;146.0;C
k99_858572_1;IS10;63.0;100;37;0;17;116;46;145;1.07e-43;137.0;C
k99_865751_1;Est18_23;53.4;174;74;4;1;170;75;245;1.3499999999999998e-54;172.0;C
k99_865751_1;BsEstB;53.7;164;71;4;4;166;80;239;4.029999999999999e-52;166.0;C
k99_865751_1;102;55.3;141;61;2;4;142;85;225;3.73e-49;153.0;C
k99_865751_1;101;51.4;146;61;4;6;143;2;145;2e-43;139.0;C
k99_867788_1;102;56.8;132;55;2;21;151;85;215;7.36e-49;152.0;C
k99_867788_1;Est18_23;59.1;132;51;3;21;151;78;207;2.01e-45;147.0;C
k99_867788_1;101;51.1;135;58;3;23;151;2;134;3.78e-40;129.0;C
k99_867788_1;BsEstB;50.8;132;59;4;21;151;80;206;4.2199999999999996e-38;127.0;C
k99_877530_1;102;51.5;227;98;6;20;244;2;218;1.05e-70;211.0;C
k99_877530_1;101;51.4;138;59;3;113;244;2;137;2.29e-42;139.0;C
k99_891058_2;102;60.0;70;28;0;37;106;8;77;1.84e-26;92.0;C
k99_895962_1;202;55.8;43;19;0;45;87;31;73;8.51e-08;44.7;C
k99_904747_1;IS12;56.2;105;44;1;1;105;186;288;1.71e-38;124.0;C
k99_904747_1;IS10;52.6;97;44;1;9;105;194;288;4.19e-29;99.4;C
k99_909996_1;202;50.0;40;20;0;10;49;34;73;1.81e-09;45.8;C
k99_925494_1;IS12;50.3;199;96;1;6;201;77;275;6.04e-60;183.0;C
k99_928275_1;Est18_23;53.1;145;61;2;4;147;2;140;3.48e-44;144.0;C
k99_928275_1;101;54.5;66;24;2;87;147;2;66;6.65e-15;62.4;C
k99_930005_1;PpEst;50.0;62;31;0;1;62;140;201;2.8e-20;72.4;C
k99_931171_1;102;57.9;114;42;2;16;128;81;189;3.1000000000000003e-43;136.0;C
k99_931171_1;Est18_23;54.5;123;47;4;9;129;67;182;5.13e-38;126.0;C
k99_931171_1;101;55.3;114;39;5;22;129;2;109;2.84e-34;113.0;C
k99_931171_1;BsEstB;53.1;113;43;4;18;129;78;181;1.21e-32;112.0;C
k99_938537_1;IS12;55.1;69;30;1;4;71;126;194;1.47e-16;65.5;C
k99_960152_1;PpEst;50.0;180;84;3;3;179;5;181;1.78e-49;152.0;C
k99_966267_1;102;50.3;149;67;4;63;205;12;159;3.83e-38;126.0;C
k99_971233_4;202;57.9;38;16;0;31;68;34;71;7.8e-09;47.8;C
k99_978428_1;Est18_23;55.9;204;87;3;5;207;18;219;4.66e-72;221.0;C
k99_978428_1;102;54.0;200;88;4;8;206;30;226;2.6199999999999997e-68;206.0;C
k99_978428_1;BsEstB;52.5;202;89;5;5;205;21;216;8.4e-60;189.0;C
k99_978428_1;101;55.9;145;56;3;67;205;2;144;9.549999999999999e-48;153.0;C
k99_993376_1;IS10;55.3;76;34;0;1;76;51;126;1.17e-30;102.0;C
k99_993376_1;IS12;53.9;76;35;0;1;76;51;126;1.25e-30;102.0;C
k99_1022126_1;Est18_23;58.0;131;55;0;1;131;86;216;1.77e-46;149.0;C
k99_1022126_1;BsEstB;52.7;131;59;1;1;131;88;215;1.3899999999999998e-42;139.0;C
k99_1022126_1;101;54.5;134;54;3;5;131;10;143;2.3800000000000003e-37;121.0;C
k99_1026944_1;PpEst;55.3;103;43;1;18;120;1;100;1.33e-33;108.0;C
k99_1030203_1;102;50.8;193;88;4;1;192;40;226;6.119999999999999e-61;184.0;C
k99_1030203_1;101;51.0;143;62;3;53;189;2;142;6.47e-43;138.0;C
k99_1034032_1;IS12;60.0;85;34;0;1;85;86;170;3.13e-32;106.0;C
k99_1034032_1;IS10;61.2;85;33;0;1;85;86;170;3.12e-31;103.0;C
k99_1038173_1;102;50.7;203;98;2;4;205;16;217;1.3599999999999999e-67;202.0;C
k99_1038173_1;101;50.0;146;65;3;75;214;2;145;1.57e-42;138.0;C
k99_1052274_1;202;57.8;45;19;0;139;183;30;74;3.5e-11;55.1;C
k99_1054650_1;IS10;52.6;133;56;4;1;126;54;186;3.35e-39;126.0;C
k99_1074320_1;102;77.4;31;7;0;21;51;27;57;4.08e-15;58.9;C
k99_1074320_1;Est18_23;50.0;48;23;1;4;51;2;48;1.84e-12;51.6;C
k99_1081192_1;IS10;50.0;134;58;2;1;127;157;288;1.38e-35;117.0;C
k99_1090458_1;PpEst;54.3;81;37;0;2;82;121;201;1.97e-27;91.7;C
k99_1092783_1;PpEst;55.0;111;50;0;13;123;24;134;1.23e-43;134.0;C
k99_1099909_1;202;50.0;38;19;0;54;91;35;72;2.85e-07;43.5;C
k99_1107664_1;102;51.1;133;50;5;1;118;149;281;5.3e-32;107.0;C
k99_1107664_1;Est18_23;50.0;90;45;0;8;97;153;242;7.8e-24;87.4;C
k99_1107664_1;BsEstB;56.5;69;30;0;10;78;154;222;1.99e-23;86.3;C
k99_1116605_1;Est18_23;60.7;107;41;1;1;106;130;236;4e-36;120.0;C
k99_1116605_1;102;59.1;88;35;1;1;87;138;225;3.26e-28;96.7;C
k99_1116605_1;101;60.7;89;33;2;1;87;56;144;3.53e-28;96.7;C
k99_1121096_1;BsEstB;50.2;215;88;6;46;254;16;217;2.51e-55;181.0;C
k99_1123544_1;PpEst;52.1;140;67;0;1;140;26;165;4.68e-53;159.0;C
k99_1123967_22;PpEst;52.8;178;84;0;1;178;24;201;2.6499999999999998e-68;199.0;C
k99_1126390_1;IS11;59.3;140;57;0;1;140;106;245;1.6599999999999997e-54;170.0;C
k99_1132480_2;IS10;50.0;136;62;4;2;135;153;284;6.05e-31;106.0;C
k99_1149925_1;IS11;61.1;113;44;0;1;113;31;143;3.11e-43;139.0;C
k99_1161709_1;BsEstB;50.0;96;39;1;1;87;158;253;2.0700000000000002e-26;93.6;C
k99_1161709_1;101;56.5;62;27;0;1;62;86;147;3.7300000000000006e-21;77.8;C
k99_1163176_1;PpEst;56.3;144;63;0;9;152;58;201;1.97e-53;160.0;C
k99_1164236_4;202;58.8;51;21;0;98;148;22;72;2e-12;59.7;C
k99_1171211_1;IS11;59.4;165;67;0;3;167;62;226;2.01e-71;215.0;C
k99_1178013_1;102;53.5;187;80;3;1;186;37;217;7.3e-60;181.0;C
k99_1182547_1;Est18_23;50.6;158;75;1;12;166;76;233;1.82e-50;161.0;C
k99_1195622_2;IS12;50.0;288;142;2;90;376;3;289;1.16e-86;259.0;C
k99_1204295_1;PpEst;50.0;116;56;2;33;147;23;137;2.95e-36;117.0;C
k99_1204757_1;611;51.6;31;15;0;25;55;122;152;5.54e-06;37.4;C
k99_1212376_1;102;60.7;56;22;0;4;59;165;220;4.68e-15;66.2;C
k99_1226778_2;202;58.1;43;18;0;96;138;33;75;1.77e-09;50.4;C
k99_1227111_1;202;52.6;38;18;0;70;107;34;71;3.6e-08;42.0;C
k99_1237173_5;202;51.4;37;18;0;131;167;32;68;9.85e-09;48.5;C
k99_1243062_1;202;58.8;34;14;0;148;181;36;69;2.35e-07;43.5;C
k99_1258495_1;IS12;59.8;97;39;0;2;98;111;207;1.41e-37;121.0;C
k99_1258495_1;IS10;58.8;97;40;0;2;98;111;207;2.16e-35;115.0;C
k99_1258832_2;202;61.0;41;16;0;136;176;34;74;7.37e-11;53.5;C
k99_1271441_1;PpEst;56.3;142;62;0;14;155;60;201;2.79e-54;163.0;C
k99_1271905_1;202;60.5;43;17;0;3;45;36;78;2.54e-11;55.5;C
k99_1273432_1;IS10;50.3;143;71;0;30;172;42;184;3.3499999999999997e-46;147.0;C
k99_1278655_2;102;53.0;100;43;3;27;124;9;106;3.5400000000000003e-26;92.0;C
k99_1286408_2;IS12;55.6;279;119;4;16;291;5;281;6.25e-106;305.0;C
k99_1291216_2;406;56.7;30;13;0;36;65;152;181;6.51e-07;40.4;C
k99_1294502_1;Est18_23;60.0;105;41;1;2;105;99;203;1.05e-37;124.0;C
k99_1294502_1;BsEstB;52.9;104;47;1;2;105;101;202;6.95e-34;114.0;C
k99_1297717_1;IS12;55.1;107;46;2;2;107;151;256;1.45e-31;105.0;C
k99_1297717_1;IS10;50.5;107;51;2;1;106;150;255;6.13e-28;96.3;C
k99_1298884_1;101;51.3;115;48;3;88;195;2;115;6.38e-29;102.0;C
k99_1303509_1;Est18_23;73.2;56;15;0;2;57;162;217;1.2500000000000001e-21;81.3;C
k99_1304506_2;EstB;56.1;66;28;1;12;77;10;74;2.72e-22;78.6;C
k99_1306521_1;101;55.8;77;27;3;100;170;2;77;6.15e-19;74.3;C
k99_1313564_1;Est18_23;55.1;185;77;3;1;180;16;199;1.66e-61;191.0;C
k99_1313564_1;102;50.8;181;84;4;1;177;25;204;2.69e-49;154.0;C
